Continente,País,Mês,Número de Visitantes
América do Norte,Canadá,Janeiro,1209
América do Norte,Canadá,Fevereiro,1496
América do Norte,Canadá,Março,1633
América do Norte,Canadá,Abril,722
América do Norte,Canadá,Maio,553
América do Norte,Canadá,Junho,503
América do Norte,Canadá,Julho,1073
América do Norte,Canadá,Agosto,1391
América do Norte,Canadá,Setembro,1848
América do Norte,Canadá,Outubro,1005
América do Norte,Canadá,Novembro,927
América do Norte,Canadá,Dezembro,1164
América do Norte,Estados Unidos,Janeiro,8882
América do Norte,Estados Unidos,Fevereiro,10285
América do Norte,Estados Unidos,Março,14123
América do Norte,Estados Unidos,Abril,7313
América do Norte,Estados Unidos,Maio,7843
América do Norte,Estados Unidos,Junho,9219
América do Norte,Estados Unidos,Julho,8922
América do Norte,Estados Unidos,Agosto,9620
América do Norte,Estados Unidos,Setembro,8236
América do Norte,Estados Unidos,Outubro,9452
América do Norte,Estados Unidos,Novembro,9756
América do Norte,Estados Unidos,Dezembro,13333
América do Norte,México,Janeiro,479
América do Norte,México,Fevereiro,630
América do Norte,México,Março,964
América do Norte,México,Abril,872
América do Norte,México,Maio,802
América do Norte,México,Junho,706
América do Norte,México,Julho,724
América do Norte,México,Agosto,693
América do Norte,México,Setembro,660
América do Norte,México,Outubro,608
América do Norte,México,Novembro,476
América do Norte,México,Dezembro,507
América do Sul,Argentina,Janeiro,51022
América do Sul,Argentina,Fevereiro,44972
América do Sul,Argentina,Março,47236
América do Sul,Argentina,Abril,27788
América do Sul,Argentina,Maio,20291
América do Sul,Argentina,Junho,18614
América do Sul,Argentina,Julho,24658
América do Sul,Argentina,Agosto,22450
América do Sul,Argentina,Setembro,23317
América do Sul,Argentina,Outubro,25085
América do Sul,Argentina,Novembro,27249
América do Sul,Argentina,Dezembro,34360
América do Sul,Bolívia,Janeiro,132
América do Sul,Bolívia,Fevereiro,95
América do Sul,Bolívia,Março,138
América do Sul,Bolívia,Abril,72
América do Sul,Bolívia,Maio,78
América do Sul,Bolívia,Junho,122
América do Sul,Bolívia,Julho,155
América do Sul,Bolívia,Agosto,84
América do Sul,Bolívia,Setembro,193
América do Sul,Bolívia,Outubro,168
América do Sul,Bolívia,Novembro,69
América do Sul,Bolívia,Dezembro,634
América do Sul,Chile,Janeiro,19037
América do Sul,Chile,Fevereiro,21203
América do Sul,Chile,Março,13301
América do Sul,Chile,Abril,8811
América do Sul,Chile,Maio,10116
América do Sul,Chile,Junho,12553
América do Sul,Chile,Julho,10734
América do Sul,Chile,Agosto,9885
América do Sul,Chile,Setembro,12720
América do Sul,Chile,Outubro,12516
América do Sul,Chile,Novembro,9742
América do Sul,Chile,Dezembro,13123
América do Sul,Colômbia,Janeiro,2288
América do Sul,Colômbia,Fevereiro,1882
América do Sul,Colômbia,Março,2196
América do Sul,Colômbia,Abril,2028
América do Sul,Colômbia,Maio,1775
América do Sul,Colômbia,Junho,4643
América do Sul,Colômbia,Julho,1757
