Continente,Pais,Mes,Numero de Visitantes,Lat,Long
America do Norte,Canada,Janeiro,1209,56.1304,-106.3468
America do Norte,Canada,Fevereiro,1496,56.1304,-106.3468
America do Norte,Canada,Marco,1633,56.1304,-106.3468
America do Norte,Canada,Abril,722,56.1304,-106.3468
America do Norte,Canada,Maio,553,56.1304,-106.3468
America do Norte,Canada,Junho,503,56.1304,-106.3468
America do Norte,Canada,Julho,1073,56.1304,-106.3468
America do Norte,Canada,Agosto,1391,56.1304,-106.3468
America do Norte,Canada,Setembro,1848,56.1304,-106.3468
America do Norte,Canada,Outubro,1005,56.1304,-106.3468
America do Norte,Canada,Novembro,927,56.1304,-106.3468
America do Norte,Canada,Dezembro,1164,56.1304,-106.3468
America do Norte,Estados Unidos,Janeiro,8882,37.0902,-95.7129
America do Norte,Estados Unidos,Fevereiro,10285,37.0902,-95.7129
America do Norte,Estados Unidos,Marco,14123,37.0902,-95.7129
America do Norte,Estados Unidos,Abril,7313,37.0902,-95.7129
America do Norte,Estados Unidos,Maio,7843,37.0902,-95.7129
America do Norte,Estados Unidos,Junho,9219,37.0902,-95.7129
America do Norte,Estados Unidos,Julho,8922,37.0902,-95.7129
America do Norte,Estados Unidos,Agosto,9620,37.0902,-95.7129
America do Norte,Estados Unidos,Setembro,8236,37.0902,-95.7129
America do Norte,Estados Unidos,Outubro,9452,37.0902,-95.7129
America do Norte,Estados Unidos,Novembro,9756,37.0902,-95.7129
America do Norte,Estados Unidos,Dezembro,13333,37.0902,-95.7129
America do Norte,Mexico,Janeiro,479,23.6345,-102.5528
America do Norte,Mexico,Fevereiro,630,23.6345,-102.5528
America do Norte,Mexico,Marco,964,23.6345,-102.5528
America do Norte,Mexico,Abril,872,23.6345,-102.5528
America do Norte,Mexico,Maio,802,23.6345,-102.5528
America do Norte,Mexico,Junho,706,23.6345,-102.5528
America do Norte,Mexico,Julho,724,23.6345,-102.5528
America do Norte,Mexico,Agosto,693,23.6345,-102.5528
America do Norte,Mexico,Setembro,660,23.6345,-102.5528
America do Norte,Mexico,Outubro,608,23.6345,-102.5528
America do Norte,Mexico,Novembro,476,23.6345,-102.5528
